sub_id,task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,onset_SOA,SOA_lock,pitch,intro_jit
SX134,visual,1,-1,6,practice_01,practice_09,target,letter,right,practice_09,1,0.86,0.466,0.466,onset,1100,1.02373060836697
SX134,visual,1,-1,7,practice_01,practice_09,non-target,letter,left,letter_03,1.5,0.913333333,0,1.5,offset,1000,0.700868014585399
SX134,visual,1,-1,8,practice_01,practice_09,non-target,letter,center,letter_11,1.5,0.726666667,0.116,0.116,onset,1100,0.806458582897291
SX134,visual,1,-1,9,practice_01,practice_09,irrelevant,face,left,face_08,1,1.713333333,0.232,1.232,offset,1100,1.05704033025776
SX134,visual,1,-1,10,practice_01,practice_09,irrelevant,object,right,object_18,1.5,0.966666667,0,1.5,offset,1000,0.226205451201523
SX134,visual,1,-1,11,practice_01,practice_09,non-target,false_font,left,false_font_13,0.5,1.713333333,0.232,0.732,offset,1000,0.467777581001189
SX134,visual,1,-1,12,practice_01,practice_09,irrelevant,object,left,object_19,1,1.206666667,0.232,1.232,offset,1000,0.947013304123833
SX134,visual,1,-1,13,practice_01,practice_09,non-target,letter,left,letter_03,0.5,0.753333333,0.116,0.616,offset,1000,1.07798492206828
SX134,visual,1,-1,14,practice_01,practice_09,non-target,false_font,right,false_font_02,0.5,0.74,0,0,onset,1000,1.02746807038505
SX134,visual,1,-1,15,practice_01,practice_09,non-target,false_font,left,false_font_06,1.5,0.806666667,0.116,1.616,offset,1000,0.337644261507662
SX134,visual,1,-1,16,practice_01,practice_09,target,false_font,left,practice_01,1,0.94,0.232,1.232,offset,1100,0.320809606646433
SX134,visual,1,-1,17,practice_01,practice_09,irrelevant,face,center,face_10,1.5,0.833333333,0.466,0.466,onset,1100,0.345962266093147
SX134,visual,1,-1,18,practice_01,practice_09,target,false_font,right,practice_01,1,1.193333333,0.466,0.466,onset,1100,1.18269460079227
SX134,visual,1,-1,19,practice_01,practice_09,non-target,letter,center,letter_12,0.5,0.806666667,0.466,0.466,onset,1000,1.06064198834504
SX134,visual,1,-1,20,practice_01,practice_09,irrelevant,object,center,object_03,1.5,1.3,0,1.5,offset,1100,1.24626372407963
SX134,visual,1,-1,21,practice_01,practice_09,irrelevant,object,center,object_05,1.5,0.9,0.232,0.232,onset,1100,0.29284197089873
SX134,visual,1,-1,22,practice_01,practice_09,non-target,false_font,center,false_font_13,1.5,0.78,0.466,0.466,onset,1000,1.31364984496461
SX134,visual,1,-1,23,practice_01,practice_09,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000,0.483888066327808
SX134,visual,1,-1,24,practice_01,practice_09,irrelevant,object,center,object_11,0.5,1.273333333,0,0.5,offset,1000,0.849722798829116
SX134,visual,1,-1,25,practice_01,practice_09,irrelevant,face,right,face_16,1,1.14,0,1,offset,1000,1.3257592993545
SX134,visual,1,-1,26,practice_01,practice_09,non-target,letter,right,letter_13,0.5,0.806666667,0.116,0.616,offset,1000,0.856373065503006
SX134,visual,1,-1,27,practice_01,practice_09,irrelevant,face,left,face_18,1,0.726666667,0.232,0.232,onset,1100,1.45788260845922
SX134,visual,1,-1,28,practice_01,practice_09,irrelevant,object,center,object_14,1.5,0.78,0.116,1.616,offset,1100,0.722735287267014
SX134,visual,1,-1,29,practice_01,practice_09,non-target,false_font,center,false_font_05,1,0.806666667,0.466,0.466,onset,1100,0.352781268674615
SX134,visual,1,-1,30,practice_01,practice_09,irrelevant,face,center,face_02,1,0.74,0.116,0.116,onset,1100,0.424128732513251
SX134,visual,1,-1,31,practice_01,practice_09,non-target,false_font,right,false_font_12,1,0.74,0.232,0.232,onset,1000,0.792608868183985
SX134,visual,1,-1,32,practice_01,practice_09,irrelevant,face,left,face_08,1.5,0.74,0,0,onset,1100,0.462841783064445
SX134,visual,1,-1,33,practice_01,practice_09,non-target,letter,center,letter_17,0.5,0.806666667,0,0.5,offset,1100,0.289102546029933
SX134,visual,1,-1,34,practice_01,practice_09,non-target,false_font,center,false_font_01,1.5,0.78,0.232,0.232,onset,1100,0.237706058234301
SX134,visual,1,-1,35,practice_01,practice_09,irrelevant,face,center,face_19,1.5,0.833333333,0.466,1.966,offset,1000,1.43180614083167
SX134,visual,1,-1,36,practice_01,practice_09,irrelevant,face,center,face_10,1.5,0.806666667,0.232,1.732,offset,1100,0.731665913723873
SX134,visual,1,-1,37,practice_01,practice_09,non-target,letter,left,letter_10,1,0.94,0.116,1.116,offset,1100,0.613631624776785
SX134,visual,1,-1,38,practice_01,practice_09,irrelevant,object,center,object_17,0.5,1.006666667,0.116,0.116,onset,1100,1.44830301098882
SX134,visual,1,-1,39,practice_01,practice_09,non-target,false_font,right,false_font_07,1.5,0.966666667,0.232,1.732,offset,1100,0.632454806744037
SX134,visual,1,-1,40,practice_01,practice_09,target,letter,right,practice_09,1.5,0.74,0.466,1.966,offset,1100,0.424274037879432
SX134,auditory_and_visual,1,0,1,practice_05,practice_09,non-target,letter,left,letter_03,0.5,0.753333333,0.116,0.616,offset,1000,0.554990285731618
SX134,auditory_and_visual,1,0,2,practice_05,practice_09,target,letter,center,practice_09,0.5,0.9,0.116,0.116,onset,1000,0.878278664261915
SX134,auditory_and_visual,1,0,3,practice_05,practice_09,non-target,letter,left,letter_03,1.5,0.913333333,0,1.5,offset,1000,1.42740402030428
SX134,auditory_and_visual,1,0,4,practice_05,practice_09,irrelevant,object,center,object_17,0.5,1.006666667,0.116,0.116,onset,1100,1.1415838012565
SX134,auditory_and_visual,1,0,5,practice_05,practice_09,irrelevant,object,center,object_01,0.5,1.273333333,0.466,0.466,onset,1000,1.29281537454817
SX134,auditory_and_visual,1,0,6,practice_05,practice_09,target,false_font,center,practice_05,1,0.846666667,0.116,1.116,offset,1000,1.1700374275943
SX134,auditory_and_visual,1,0,7,practice_05,practice_09,irrelevant,object,left,object_19,1,1.206666667,0.232,1.232,offset,1000,1.30120862105944
SX134,auditory_and_visual,1,0,8,practice_05,practice_09,non-target,false_font,center,false_font_13,1.5,0.78,0.466,0.466,onset,1000,1.41284446905975
SX134,auditory_and_visual,1,0,9,practice_05,practice_09,irrelevant,object,center,object_11,0.5,1.273333333,0,0.5,offset,1000,0.2337842244248
SX134,auditory_and_visual,1,0,10,practice_05,practice_09,non-target,false_font,center,false_font_05,1,0.806666667,0.466,0.466,onset,1100,0.559723883269812
SX134,auditory_and_visual,1,0,11,practice_05,practice_09,non-target,letter,center,letter_01,1,0.94,0,0,onset,1100,0.562946709108849
SX134,auditory_and_visual,1,0,12,practice_05,practice_09,non-target,letter,left,letter_10,1,0.94,0.116,1.116,offset,1100,0.664781851420307
SX134,auditory_and_visual,1,0,13,practice_05,practice_09,non-target,letter,center,letter_17,0.5,0.806666667,0,0.5,offset,1100,0.565582118869689
SX134,auditory_and_visual,1,0,14,practice_05,practice_09,target,false_font,left,practice_05,1,0.94,0.232,1.232,offset,1100,0.402976935685816
SX134,auditory_and_visual,1,0,15,practice_05,practice_09,irrelevant,face,center,face_19,1.5,0.833333333,0.466,1.966,offset,1000,0.411176338048894
SX134,auditory_and_visual,1,0,16,practice_05,practice_09,non-target,false_font,left,false_font_06,1.5,0.806666667,0.116,1.616,offset,1000,0.660086186934286
SX134,auditory_and_visual,1,0,17,practice_05,practice_09,non-target,false_font,left,false_font_13,0.5,1.713333333,0.232,0.732,offset,1000,0.388048708492942
SX134,auditory_and_visual,1,0,18,practice_05,practice_09,irrelevant,face,center,face_02,1,0.74,0.116,0.116,onset,1100,0.244342472398266
SX134,auditory_and_visual,1,0,19,practice_05,practice_09,irrelevant,face,left,face_08,1,1.713333333,0.232,1.232,offset,1100,0.592756066718419
SX134,auditory_and_visual,1,0,20,practice_05,practice_09,non-target,letter,right,letter_13,0.5,0.806666667,0.116,0.616,offset,1000,0.430032586025961
SX134,auditory_and_visual,1,0,21,practice_05,practice_09,irrelevant,face,right,face_16,1,1.14,0,1,offset,1000,1.47197212533069
SX134,auditory_and_visual,1,0,22,practice_05,practice_09,target,letter,right,practice_09,1,0.86,0.466,0.466,onset,1100,0.700848713355009
SX134,auditory_and_visual,1,0,23,practice_05,practice_09,irrelevant,object,center,object_03,1.5,1.3,0,1.5,offset,1100,0.46012190694116
SX134,auditory_and_visual,1,0,24,practice_05,practice_09,non-target,letter,center,letter_12,0.5,0.806666667,0.466,0.466,onset,1000,0.846896728652848
SX134,auditory_and_visual,1,0,25,practice_05,practice_09,irrelevant,object,center,object_02,0.5,0.806666667,0,0,onset,1000,0.456445861879919
SX134,auditory_and_visual,1,0,26,practice_05,practice_09,non-target,letter,center,letter_11,1.5,0.726666667,0.116,0.116,onset,1100,1.35548438461671
SX134,auditory_and_visual,1,0,27,practice_05,practice_09,non-target,false_font,right,false_font_02,0.5,0.74,0,0,onset,1000,1.03933924637006
SX134,auditory_and_visual,1,0,28,practice_05,practice_09,non-target,false_font,right,false_font_07,1.5,0.966666667,0.232,1.732,offset,1100,0.764904501155429
SX134,auditory_and_visual,1,0,29,practice_05,practice_09,target,letter,right,practice_09,1.5,0.74,0.466,1.966,offset,1100,1.10246838453833
SX134,auditory_and_visual,1,0,30,practice_05,practice_09,non-target,false_font,right,false_font_12,1,0.74,0.232,0.232,onset,1000,0.860394262514593
SX134,auditory_and_visual,1,0,31,practice_05,practice_09,irrelevant,face,center,face_10,1.5,0.833333333,0.466,0.466,onset,1100,0.681867787454673
SX134,auditory_and_visual,1,0,32,practice_05,practice_09,non-target,false_font,center,false_font_01,1.5,0.78,0.232,0.232,onset,1100,0.663773163522111
SX134,auditory_and_visual,1,0,33,practice_05,practice_09,irrelevant,object,center,object_05,1.5,0.9,0.232,0.232,onset,1100,1.08433768258222
SX134,auditory_and_visual,1,0,34,practice_05,practice_09,irrelevant,face,center,face_10,1.5,0.806666667,0.232,1.732,offset,1100,0.288104224097258
SX134,auditory_and_visual,1,0,35,practice_05,practice_09,irrelevant,face,left,face_08,1.5,0.74,0,0,onset,1100,0.583858310195747
SX134,auditory_and_visual,1,0,36,practice_05,practice_09,irrelevant,object,center,object_14,1.5,0.78,0.116,1.616,offset,1100,0.589563425971399
SX134,auditory_and_visual,1,0,37,practice_05,practice_09,irrelevant,face,left,face_18,1,0.726666667,0.232,0.232,onset,1100,1.14381498209621
SX134,auditory_and_visual,1,0,38,practice_05,practice_09,target,false_font,right,practice_05,1,1.193333333,0.466,0.466,onset,1100,1.1286974997
SX134,auditory_and_visual,1,0,39,practice_05,practice_09,non-target,false_font,right,false_font_01,0.5,1.3,0.232,0.232,onset,1000,0.210179012359444
SX134,auditory_and_visual,1,0,40,practice_05,practice_09,irrelevant,object,right,object_18,1.5,0.966666667,0,1.5,offset,1000,0.426827681759561
SX134,introspection,0,1,1,letter_13,false_font_11,non-target,letter,left,letter_10,1.5,1.6147823163475,0.466,0.466,onset,1000,0.222028529104631
SX134,introspection,0,1,2,letter_13,false_font_11,non-target,letter,right,letter_18,1,0.944804918112992,0.466,1.466,offset,1000,1.19481768669003
SX134,introspection,0,1,3,letter_13,false_font_11,irrelevant,face,center,face_01,1,1.38289803002521,0,1,offset,1100,0.9812887220345
SX134,introspection,0,1,4,letter_13,false_font_11,non-target,letter,left,letter_14,1.5,0.978806381251428,0.466,1.966,offset,1100,0.49003951345185
SX134,introspection,0,1,5,letter_13,false_font_11,non-target,false_font,left,false_font_03,1.5,0.7477303318182,0,1.5,offset,1100,0.363734974725224
SX134,introspection,0,1,6,letter_13,false_font_11,irrelevant,object,right,object_15,1,1.17741440477134,0.232,1.232,offset,1100,1.01978296164451
SX134,introspection,0,1,7,letter_13,false_font_11,non-target,letter,left,letter_19,0.5,1.29600903528421,0,0.5,offset,1100,0.414245840801899
SX134,introspection,0,1,8,letter_13,false_font_11,non-target,letter,right,letter_09,0.5,0.948777160911919,0,0.5,offset,1100,0.25688801421763
SX134,introspection,0,1,9,letter_13,false_font_11,irrelevant,face,center,face_16,1,1.00456938409709,0,1,offset,1000,1.31894674702739
SX134,introspection,0,1,10,letter_13,false_font_11,target,letter,left,letter_13,1.5,1.41833675474403,0,1.5,offset,1000,0.320608559109916
SX134,introspection,0,1,11,letter_13,false_font_11,irrelevant,object,center,object_13,1.5,0.980382723320521,0.466,0.466,onset,1100,1.04729412660281
SX134,introspection,0,1,12,letter_13,false_font_11,target,false_font,center,false_font_11,1,1.24117667276559,0.232,1.232,offset,1000,0.567583439258255
SX134,introspection,0,1,13,letter_13,false_font_11,irrelevant,face,right,face_19,1.5,1.43556931773857,0,1.5,offset,1000,1.3422582015733
SX134,introspection,0,1,14,letter_13,false_font_11,non-target,letter,left,letter_02,1.5,1.32566258748224,0,0,onset,1000,0.67860711584342
SX134,introspection,0,1,15,letter_13,false_font_11,non-target,letter,center,letter_06,0.5,1.0789469752189,0.466,0.466,onset,1000,0.344380523334986
SX134,introspection,0,1,16,letter_13,false_font_11,target,letter,left,letter_13,0.5,0.777294658914815,0,0.5,offset,1100,0.208230130233382
SX134,introspection,0,1,17,letter_13,false_font_11,irrelevant,face,right,face_11,1,1.30227701706831,0,1,offset,1100,0.541486438221302
SX134,introspection,0,1,18,letter_13,false_font_11,irrelevant,object,left,object_08,1,0.920175637902793,0.232,1.232,offset,1100,0.518957516949047
SX134,introspection,0,1,19,letter_13,false_font_11,irrelevant,object,center,object_17,1,1.10693278184298,0.232,0.232,onset,1000,0.846470542448592
SX134,introspection,0,1,20,letter_13,false_font_11,irrelevant,face,left,face_20,0.5,0.98230680265929,0,0,onset,1000,1.29397651544408
SX134,introspection,0,2,21,letter_13,false_font_11,non-target,false_font,left,false_font_10,1,0.867769368450615,0.232,0.232,onset,1000,0.461881041720279
SX134,introspection,0,2,22,letter_13,false_font_11,non-target,false_font,left,false_font_19,0.5,0.778639535345752,0.232,0.732,offset,1000,0.274660969661558
SX134,introspection,0,2,23,letter_13,false_font_11,irrelevant,face,center,face_19,1,1.01483229539673,0,0,onset,1000,0.662725717863104
SX134,introspection,0,2,24,letter_13,false_font_11,irrelevant,face,left,face_14,0.5,0.844677751264915,0.232,0.232,onset,1000,0.656701039283905
SX134,introspection,0,2,25,letter_13,false_font_11,target,letter,right,letter_13,1,1.45494253893697,0.232,0.232,onset,1000,0.625800288936246
SX134,introspection,0,2,26,letter_13,false_font_11,non-target,false_font,center,false_font_03,1.5,0.708759035929656,0.232,0.232,onset,1000,0.222823032695017
SX134,introspection,0,2,27,letter_13,false_font_11,non-target,false_font,right,false_font_03,1.5,1.14391289743337,0.232,1.732,offset,1000,0.22237792398574
SX134,introspection,0,2,28,letter_13,false_font_11,irrelevant,face,right,face_03,1.5,1.27304014663981,0,1.5,offset,1100,0.892528552414902
SX134,introspection,0,2,29,letter_13,false_font_11,irrelevant,object,center,object_07,1.5,1.18040877566093,0.232,0.232,onset,1100,0.595787948754902
SX134,introspection,0,2,30,letter_13,false_font_11,non-target,false_font,center,false_font_09,1,0.70791990950955,0.232,1.232,offset,1100,0.262284506994957
SX134,introspection,0,2,31,letter_13,false_font_11,non-target,false_font,left,false_font_06,1.5,0.933812374766044,0.232,1.732,offset,1100,1.30210570425293
SX134,introspection,0,2,32,letter_13,false_font_11,non-target,false_font,center,false_font_12,1,0.848045112326594,0.466,1.466,offset,1000,0.845597558162415
SX134,introspection,0,2,33,letter_13,false_font_11,irrelevant,face,left,face_03,0.5,1.74479038793261,0.466,0.966,offset,1100,1.43225647710002
SX134,introspection,0,2,34,letter_13,false_font_11,irrelevant,face,center,face_18,0.5,0.750869452701276,0.232,0.232,onset,1000,0.990647246294096
SX134,introspection,0,2,35,letter_13,false_font_11,irrelevant,object,center,object_04,0.5,1.57475773196526,0.466,0.466,onset,1100,1.04395076429644
SX134,introspection,0,2,36,letter_13,false_font_11,irrelevant,object,center,object_06,0.5,1.78641225404454,0,0.5,offset,1100,0.247523048128254
SX134,introspection,0,2,37,letter_13,false_font_11,non-target,false_font,center,false_font_05,1,1.38434918573775,0.466,0.466,onset,1100,1.47702219961101
SX134,introspection,0,2,38,letter_13,false_font_11,irrelevant,face,left,face_09,0.5,1.12653972028537,0.466,0.966,offset,1000,0.444818252998183
SX134,introspection,0,2,39,letter_13,false_font_11,non-target,false_font,right,false_font_19,1,1.1455729453867,0.232,1.232,offset,1100,0.306745663387909
SX134,introspection,0,2,40,letter_13,false_font_11,non-target,false_font,center,false_font_10,1.5,1.26149202979078,0,1.5,offset,1100,1.45429690203767
SX134,introspection,0,3,1,letter_01,false_font_03,non-target,false_font,right,false_font_04,1.5,0.784741736824053,0.466,1.966,offset,1000,0.796539010717014
SX134,introspection,0,3,2,letter_01,false_font_03,non-target,false_font,right,false_font_06,1,0.761899815766463,0.466,0.466,onset,1100,0.748266723577199
SX134,introspection,0,3,3,letter_01,false_font_03,irrelevant,face,right,face_07,1.5,0.742759728132814,0.232,1.732,offset,1000,1.41764570937749
