task,is_practice,block,trial,target_01,target_02,task_relevance,category,orientation,identity,duration,stim_jit,SOA,SOA_lock,pitch
visual,1,-1,18,practice_05,practice_12,non-target,letter,left,letter_10,1,0.94,0.116,offset,1100
visual,1,-1,19,practice_05,practice_12,non-target,false_font,right,false_font_07,1.493333333,0.966666667,0.232,offset,1100
visual,1,-1,20,practice_05,practice_12,irrelevant,face,right,face_16,1,1.14,0,offset,1000
visual,1,-1,21,practice_05,practice_12,non-target,false_font,right,false_font_01,0.506666667,1.3,0.232,onset,1000
visual,1,-1,22,practice_05,practice_12,irrelevant,object,center,object_03,1.493333333,1.3,0,offset,1100
visual,1,-1,23,practice_05,practice_12,non-target,false_font,center,false_font_05,1,0.806666667,0.466,onset,1100
visual,1,-1,24,practice_05,practice_12,non-target,letter,center,letter_11,1.493333333,0.726666667,0.116,onset,1100
visual,1,-1,25,practice_05,practice_12,target,false_font,center,practice_05,1,0.846666667,0.116,offset,1000
visual,1,-1,26,practice_05,practice_12,irrelevant,face,left,face_08,1.493333333,0.74,0,onset,1100
visual,1,-1,27,practice_05,practice_12,non-target,false_font,right,false_font_12,1,0.74,0.232,onset,1000
visual,1,-1,28,practice_05,practice_12,target,false_font,left,practice_05,1,0.94,0.232,offset,1100
visual,1,-1,29,practice_05,practice_12,irrelevant,object,center,object_11,0.506666667,1.273333333,0,offset,1000
visual,1,-1,30,practice_05,practice_12,irrelevant,face,left,face_08,1,1.713333333,0.232,offset,1100
visual,1,-1,31,practice_05,practice_12,irrelevant,object,left,object_19,1,1.206666667,0.232,offset,1000
visual,1,-1,32,practice_05,practice_12,irrelevant,object,center,object_17,0.506666667,1.006666667,0.116,onset,1100
visual,1,-1,33,practice_05,practice_12,target,letter,center,practice_12,0.506666667,0.9,0.116,onset,1000
visual,1,-1,34,practice_05,practice_12,target,false_font,right,practice_05,1,1.193333333,0.466,onset,1100
visual,1,-1,35,practice_05,practice_12,non-target,false_font,left,false_font_13,0.506666667,1.713333333,0.232,offset,1000
visual,1,-1,36,practice_05,practice_12,non-target,false_font,center,false_font_01,1.493333333,0.78,0.232,onset,1100
visual,1,-1,37,practice_05,practice_12,non-target,letter,right,letter_13,0.506666667,0.806666667,0.116,offset,1000
visual,1,-1,38,practice_05,practice_12,non-target,letter,center,letter_01,1,0.94,0,onset,1100
visual,1,-1,39,practice_05,practice_12,irrelevant,face,left,face_18,1,0.726666667,0.232,onset,1100
visual,1,-1,40,practice_05,practice_12,irrelevant,face,center,face_10,1.493333333,0.806666667,0.232,offset,1100
auditory_and_visual,1,0,1,practice_06,practice_09,irrelevant,object,center,object_14,1.493333333,0.78,0.116,offset,1100
auditory_and_visual,1,0,2,practice_06,practice_09,non-target,letter,left,letter_03,1.493333333,0.913333333,0,offset,1000
auditory_and_visual,1,0,3,practice_06,practice_09,irrelevant,face,left,face_18,1,0.726666667,0.232,onset,1100
auditory_and_visual,1,0,4,practice_06,practice_09,target,letter,right,practice_09,1,0.86,0.466,onset,1100
auditory_and_visual,1,0,5,practice_06,practice_09,non-target,letter,center,letter_11,1.493333333,0.726666667,0.116,onset,1100
auditory_and_visual,1,0,6,practice_06,practice_09,non-target,false_font,center,false_font_05,1,0.806666667,0.466,onset,1100
auditory_and_visual,1,0,7,practice_06,practice_09,irrelevant,object,center,object_11,0.506666667,1.273333333,0,offset,1000
auditory_and_visual,1,0,8,practice_06,practice_09,irrelevant,face,center,face_19,1.493333333,0.833333333,0.466,offset,1000
auditory_and_visual,1,0,9,practice_06,practice_09,non-target,false_font,left,false_font_13,0.506666667,1.713333333,0.232,offset,1000
auditory_and_visual,1,0,10,practice_06,practice_09,irrelevant,face,right,face_16,1,1.14,0,offset,1000
auditory_and_visual,1,0,11,practice_06,practice_09,irrelevant,face,center,face_10,1.493333333,0.806666667,0.232,offset,1100
auditory_and_visual,1,0,12,practice_06,practice_09,irrelevant,face,left,face_08,1,1.713333333,0.232,offset,1100
auditory_and_visual,1,0,13,practice_06,practice_09,non-target,false_font,right,false_font_07,1.493333333,0.966666667,0.232,offset,1100
auditory_and_visual,1,0,14,practice_06,practice_09,irrelevant,object,center,object_03,1.493333333,1.3,0,offset,1100
auditory_and_visual,1,0,15,practice_06,practice_09,non-target,letter,center,letter_17,0.506666667,0.806666667,0,offset,1100
auditory_and_visual,1,0,16,practice_06,practice_09,non-target,false_font,right,false_font_02,0.506666667,0.74,0,onset,1000
auditory_and_visual,1,0,17,practice_06,practice_09,irrelevant,object,center,object_17,0.506666667,1.006666667,0.116,onset,1100
auditory_and_visual,1,0,18,practice_06,practice_09,non-target,false_font,left,false_font_06,1.493333333,0.806666667,0.116,offset,1000
auditory_and_visual,1,0,19,practice_06,practice_09,irrelevant,face,center,face_10,1.493333333,0.833333333,0.466,onset,1100
auditory_and_visual,1,0,20,practice_06,practice_09,irrelevant,object,right,object_18,1.493333333,0.966666667,0,offset,1000
auditory_and_visual,1,0,21,practice_06,practice_09,irrelevant,face,center,face_02,1,0.74,0.116,onset,1100
auditory_and_visual,1,0,22,practice_06,practice_09,non-target,false_font,center,false_font_01,1.493333333,0.78,0.232,onset,1100
auditory_and_visual,1,0,23,practice_06,practice_09,irrelevant,face,left,face_08,1.493333333,0.74,0,onset,1100
auditory_and_visual,1,0,24,practice_06,practice_09,non-target,false_font,center,false_font_13,1.493333333,0.78,0.466,onset,1000
auditory_and_visual,1,0,25,practice_06,practice_09,irrelevant,object,center,object_01,0.506666667,1.273333333,0.466,onset,1000
auditory_and_visual,1,0,26,practice_06,practice_09,irrelevant,object,left,object_19,1,1.206666667,0.232,offset,1000
auditory_and_visual,1,0,27,practice_06,practice_09,target,letter,right,practice_09,1.493333333,0.74,0.466,offset,1100
auditory_and_visual,1,0,28,practice_06,practice_09,irrelevant,object,center,object_02,0.506666667,0.806666667,0,onset,1000
auditory_and_visual,1,0,29,practice_06,practice_09,irrelevant,object,center,object_05,1.493333333,0.9,0.232,onset,1100
auditory_and_visual,1,0,30,practice_06,practice_09,target,false_font,left,practice_06,1,0.94,0.232,offset,1100
auditory_and_visual,1,0,31,practice_06,practice_09,non-target,letter,right,letter_13,0.506666667,0.806666667,0.116,offset,1000
auditory_and_visual,1,0,32,practice_06,practice_09,target,false_font,right,practice_06,1,1.193333333,0.466,onset,1100
auditory_and_visual,1,0,33,practice_06,practice_09,non-target,false_font,right,false_font_12,1,0.74,0.232,onset,1000
auditory_and_visual,1,0,34,practice_06,practice_09,target,letter,center,practice_09,0.506666667,0.9,0.116,onset,1000
auditory_and_visual,1,0,35,practice_06,practice_09,non-target,false_font,right,false_font_01,0.506666667,1.3,0.232,onset,1000
auditory_and_visual,1,0,36,practice_06,practice_09,target,false_font,center,practice_06,1,0.846666667,0.116,offset,1000
auditory_and_visual,1,0,37,practice_06,practice_09,non-target,letter,center,letter_12,0.506666667,0.806666667,0.466,onset,1000
auditory_and_visual,1,0,38,practice_06,practice_09,non-target,letter,center,letter_01,1,0.94,0,onset,1100
auditory_and_visual,1,0,39,practice_06,practice_09,non-target,letter,left,letter_03,0.506666667,0.753333333,0.116,offset,1000
auditory_and_visual,1,0,40,practice_06,practice_09,non-target,letter,left,letter_10,1,0.94,0.116,offset,1100
prp,0,1,1,letter_08,false_font_18,irrelevant,object,left,object_09,0.5,0.957269949429106,0.166,offset,1100
prp,0,1,2,letter_08,false_font_18,non-target,letter,center,letter_11,0.5,0.962045917524831,0.266,onset,1100
prp,0,1,3,letter_08,false_font_18,non-target,false_font,center,false_font_06,1.5,1.43593482563502,0.266,onset,1100
prp,0,1,4,letter_08,false_font_18,irrelevant,face,center,face_14,1,0.970047267610154,0.466,onset,1000
prp,0,1,5,letter_08,false_font_18,non-target,false_font,left,false_font_20,1,1.15843987230677,0,onset,1100
prp,0,1,6,letter_08,false_font_18,irrelevant,face,left,face_14,1,0.939669250481122,0.266,offset,1100
prp,0,1,7,letter_08,false_font_18,non-target,false_font,center,false_font_07,0.5,1.85012107469811,0.266,onset,1100
prp,0,1,8,letter_08,false_font_18,irrelevant,face,right,face_01,1,1.66113413306179,0.166,onset,1000
prp,0,1,9,letter_08,false_font_18,irrelevant,object,center,object_14,1,1.1113030705443,0.466,offset,1100
prp,0,1,10,letter_08,false_font_18,non-target,false_font,center,false_font_15,1.5,1.4452764140207,0.166,onset,1000
