real_dur;target_dur; dur_diff ;real_SOA;target_SOA;SOA_diff;trial_dur;trial_dur_plus_jitter
0,500009995;0,5; 0,0000100 ;0,228595315;0,232;-0,003404685;2,006914436;2,750808015
1,506896218;1,5; 0,0068962 ;0,228687982;0,232;-0,003312018;2,006884589;2,982387182
1,006917418;1; 0,0069174 ;0,462703999;0,466;-0,003296001;2,006887436;3,765703499
1,006917393;1; 0,0069174 ;0,462680621;0,466;-0,003319379;2,006885171;2,845055821
1,499981685;1,5;-0,0000183 ;1,962565764;1,966;-0,003434236;1,999940513;3,889410664
0,506929013;0,5; 0,0069290 ;0,612678012;0,616;-0,003321988;2,006884149;3,094604312
1,006910882;1; 0,0069109 ;0,996703364;1;-0,003296636;1,999937791;2,965319664
0,499979795;0,5;-0,0000202 ;0,462684115;0,466;-0,003315885;2,00688208;3,325435415
1,499957742;1,5;-0,0000423 ;0,112728099;0,116;-0,003271901;1,999939309;2,965591399
0,499983315;0,5;-0,0000167 ;0,462627928;0,466;-0,003372072;2,006879951;3,380083628
1,506896971;1,5; 0,0068970 ;0,001380335;0;0,001380335;2,006884927;3,207829735
0,999969722;1;-0,0000303 ;0,001318735;0;0,001318735;2,0068839;2,807355835
0,499987997;0,5;-0,0000120 ;0,112664621;0,116;-0,003335379;2,006888422;3,311340621
1,506864693;1,5; 0,0068647 ;0,001343892;0;0,001343892;2,006849464;2,981853192
0,506958551;0,5; 0,0069586 ;0,728675201;0,732;-0,003324799;2,006878202;3,223018401
0,500024641;0,5; 0,0000246 ;0,001395761;0;0,001395761;2,006883105;3,128873761
0,506958378;0,5; 0,0069584 ;0,496777964;0,5;-0,003222036;2,006888978;3,652788864
1,506897964;1,5; 0,0068980 ;1,496708421;1,5;-0,003291579;2,006885764;3,209231221
0,506924829;0,5; 0,0069248 ;0,228785186;0,232;-0,003214814;1,999936266;3,595151886
0,999972564;1;-0,0000274 ;0,112584957;0,116;-0,003415043;2,006851727;2,882460757
0,506899736;0,5; 0,0068997 ;0,228753528;0,232;-0,003246472;2,0068834;3,283701228
1,506923813;1,5; 0,0069238 ;0,462771899;0,466;-0,003228101;1,99993516;2,857661499
1,506901629;1,5; 0,0069016 ;0,228583521;0,232;-0,003416479;1,999938397;2,778575421
1,506895593;1,5; 0,0068956 ;0,112654415;0,116;-0,003345585;1,99993204;2,831258315
1,506864687;1,5; 0,0068647 ;1,728657921;1,732;-0,003342079;2,006855887;2,836814721
0,499989585;0,5;-0,0000104 ;0,001377099;0;0,001377099;1,999966133;3,247935299
0,506935578;0,5; 0,0069356 ;0,496778106;0,5;-0,003221894;1,999971982;2,778166806
1,00694726;1; 0,0069473 ;1,11268467;1,116;-0,00331533;1,999936064;2,74541947
1,499958609;1,5;-0,0000414 ;1,612772064;1,616;-0,003227936;2,006884385;2,855719964
1,506898522;1,5; 0,0068985 ;0,462667321;0,466;-0,003332679;1,999965718;2,887734621
